@relation cojuntocarros

@ATTRIBUTE x1 REAL
@ATTRIBUTE x2 {3,4,6,8}
@ATTRIBUTE x3 REAL
@ATTRIBUTE x4 REAL
@ATTRIBUTE x5 REAL
@ATTRIBUTE x6 REAL
@ATTRIBUTE x7 REAL
@ATTRIBUTE x8 {1,2,3}
@ATTRIBUTE x9 {chevrolet,buick,plymouth,amc,ford,pontiac,citroen,dodge,toyota,datsun,volkswagen,peugeot,audi,saab,bmw,chevy,hi,mercury,opel,fiat,oldsmobile,chrysler,mazda,volvo,renault,honda,subaru,capri,vw,mercedes,cadillac,triumph,nissan}


@data
23.0,6,198.0,95.0,2904.00,16.0,73.0,1,plymouth
26.0,4,97.0,46.0,1950.00,21.0,73.0,2,volkswagen
11.0,8,400.0,150.0,4997.00,14.0,73.0,1,chevrolet
12.0,8,400.0,167.0,4906.00,12.5,73.0,1,ford
13.0,8,360.0,170.0,4654.00,13.0,73.0,1,plymouth
12.0,8,350.0,180.0,4499.00,12.5,73.0,1,oldsmobile
18.0,6,232.0,100.0,2789.00,15.0,73.0,1,amc
20.0,4,97.0,88.0,2279.00,19.0,73.0,3,toyota
21.0,4,140.0,72.0,2401.00,19.5,73.0,1,chevrolet
22.0,4,108.0,94.0,2379.00,16.5,73.0,3,datsun
18.0,4,70.0,90.0,2124.00,13.5,73.0,3,mazda
19.0,4,122.0,85.0,2310.00,18.5,73.0,1,ford
21.0,6,155.0,107.0,2472.00,14.0,73.0,1,mercury
26.0,4,98.0,90.0,2265.00,15.5,73.0,2,fiat
15.0,8,350.0,145.0,4082.00,13.0,73.0,1,chevrolet
16.0,8,400.0,230.0,4278.00,9.5,73.0,1,pontiac
29.0,4,68.0,49.0,1867.00,19.5,73.0,2,fiat
24.0,4,116.0,75.0,2158.00,15.5,73.0,2,opel
20.0,4,114.0,91.0,2582.00,14.0,73.0,2,audi
19.0,4,121.0,112.0,2868.00,15.5,73.0,2,volvo
15.0,8,318.0,150.0,3399.00,11.0,73.0,1,dodge
24.0,4,121.0,110.0,2660.00,14.0,73.0,2,saab
20.0,6,156.0,122.0,2807.00,13.5,73.0,3,toyota
11.0,8,350.0,180.0,3664.00,11.0,73.0,1,oldsmobile
20.0,6,198.0,95.0,3102.00,16.5,74.0,1,plymouth
21.0,6,200.0,104.0,2875.00,17.0,74.0,1,ford
19.0,6,232.0,100.0,2901.00,16.0,74.0,1,amc
15.0,6,250.0,100.0,3336.00,17.0,74.0,1,chevrolet
31.0,4,79.0,67.0,1950.00,19.0,74.0,3,datsun
26.0,4,122.0,80.0,2451.00,16.5,74.0,1,ford
32.0,4,71.0,65.0,1836.00,21.0,74.0,3,toyota
25.0,4,140.0,75.0,2542.00,17.0,74.0,1,chevrolet
16.0,6,250.0,100.0,3781.00,17.0,74.0,1,chevrolet
16.0,6,258.0,110.0,3632.00,18.0,74.0,1,amc
18.0,6,225.0,105.0,3613.00,16.5,74.0,1,plymouth
16.0,8,302.0,140.0,4141.00,14.0,74.0,1,ford
13.0,8,350.0,150.0,4699.00,14.5,74.0,1,buick
14.0,8,318.0,150.0,4457.00,13.5,74.0,1,dodge
14.0,8,302.0,140.0,4638.00,16.0,74.0,1,ford
14.0,8,304.0,150.0,4257.00,15.5,74.0,1,amc
29.0,4,98.0,83.0,2219.00,16.5,74.0,2,audi
26.0,4,79.0,67.0,1963.00,15.5,74.0,2,volkswagen
26.0,4,97.0,78.0,2300.00,14.5,74.0,2,opel
31.0,4,76.0,52.0,1649.00,16.5,74.0,3,toyota
32.0,4,83.0,61.0,2003.00,19.0,74.0,3,datsun
28.0,4,90.0,75.0,2125.00,14.5,74.0,1,dodge
24.0,4,90.0,75.0,2108.00,15.5,74.0,2,fiat
26.0,4,116.0,75.0,2246.00,14.0,74.0,2,fiat
24.0,4,120.0,97.0,2489.00,15.0,74.0,3,honda
26.0,4,108.0,93.0,2391.00,15.5,74.0,3,subaru
31.0,4,79.0,67.0,2000.00,16.0,74.0,2,fiat
19.0,6,225.0,95.0,3264.00,16.0,75.0,1,plymouth
18.0,6,250.0,105.0,3459.00,16.0,75.0,1,chevrolet
15.0,6,250.0,72.0,3432.00,21.0,75.0,1,mercury
15.0,6,250.0,72.0,3158.00,19.5,75.0,1,ford
16.0,8,400.0,170.0,4668.00,11.5,75.0,1,pontiac
15.0,8,350.0,145.0,4440.00,14.0,75.0,1,chevrolet
16.0,8,318.0,150.0,4498.00,14.5,75.0,1,plymouth
14.0,8,351.0,148.0,4657.00,13.5,75.0,1,ford
17.0,6,231.0,110.0,3907.00,21.0,75.0,1,buick
16.0,6,250.0,105.0,3897.00,18.5,75.0,1,chevrolet
15.0,6,258.0,110.0,3730.00,19.0,75.0,1,amc
18.0,6,225.0,95.0,3785.00,19.0,75.0,1,plymouth
21.0,6,231.0,110.0,3039.00,15.0,75.0,1,buick
20.0,8,262.0,110.0,3221.00,13.5,75.0,1,chevrolet
13.0,8,302.0,129.0,3169.00,12.0,75.0,1,ford
29.0,4,97.0,75.0,2171.00,16.0,75.0,3,toyota
23.0,4,140.0,83.0,2639.00,17.0,75.0,1,ford
20.0,6,232.0,100.0,2914.00,16.0,75.0,1,amc
23.0,4,140.0,78.0,2592.00,18.5,75.0,1,pontiac
24.0,4,134.0,96.0,2702.00,13.5,75.0,3,toyota
25.0,4,90.0,71.0,2223.00,16.5,75.0,2,volkswagen
24.0,4,119.0,97.0,2545.00,17.0,75.0,3,datsun
18.0,6,171.0,97.0,2984.00,14.5,75.0,1,ford
29.0,4,90.0,70.0,1937.00,14.0,75.0,2,volkswagen
19.0,6,232.0,90.0,3211.00,17.0,75.0,1,amc
23.0,4,115.0,95.0,2694.00,15.0,75.0,2,audi
23.0,4,120.0,88.0,2957.00,17.0,75.0,2,peugeot
22.0,4,121.0,98.0,2945.00,14.5,75.0,2,volvo
25.0,4,121.0,115.0,2671.00,13.5,75.0,2,saab
33.0,4,91.0,53.0,1795.00,17.5,75.0,3,honda
28.0,4,107.0,86.0,2464.00,15.5,76.0,2,fiat
25.0,4,116.0,81.0,2220.00,16.9,76.0,2,opel
25.0,4,140.0,92.0,2572.00,14.9,76.0,1,capri
26.0,4,98.0,79.0,2255.00,17.7,76.0,1,dodge
27.0,4,101.0,83.0,2202.00,15.3,76.0,2,renault
17.4,8,305.0,140.0,4215.00,13.0,76.0,1,chevrolet
16.0,8,318.0,150.0,4190.00,13.0,76.0,1,dodge
15.4,8,304.0,120.0,3962.00,13.9,76.0,1,amc
14.4,8,351.0,152.0,4215.00,12.8,76.0,1,ford
22.0,6,225.0,100.0,3233.00,15.4,76.0,1,plymouth
22.0,6,250.0,105.0,3353.00,14.5,76.0,1,chevrolet
24.0,6,200.0,81.0,3012.00,17.6,76.0,1,ford
22.4,6,232.0,90.0,3085.00,17.6,76.0,1,amc
29.0,4,85.0,52.0,2035.00,22.2,76.0,1,chevrolet
24.4,4,98.0,60.0,2164.00,22.1,76.0,1,chevrolet
29.0,4,90.0,70.0,1937.00,14.2,76.0,2,vw
33.0,4,91.0,53.0,1795.00,17.4,76.0,3,honda
20.0,6,225.0,100.0,3651.00,17.7,76.0,1,dodge
18.0,6,250.0,78.0,3574.00,21.0,76.0,1,ford
18.4,6,250.0,110.0,3645.00,16.2,76.0,1,pontiac
17.4,6,258.0,95.0,3193.00,17.8,76.0,1,amc
29.4,4,97.0,71.0,1825.00,12.2,76.0,2,volkswagen
32.0,4,85.0,70.0,1990.00,17.0,76.0,3,datsun
28.0,4,97.0,75.0,2155.00,16.4,76.0,3,toyota
26.4,4,140.0,72.0,2565.00,13.6,76.0,1,ford
20.0,4,130.0,102.0,3150.00,15.7,76.0,2,volvo
13.0,8,318.0,150.0,3940.00,13.2,76.0,1,plymouth
19.0,4,120.0,88.0,3270.00,21.9,76.0,2,peugeot
19.0,6,156.0,108.0,2930.00,15.5,76.0,3,toyota
16.4,6,168.0,120.0,3820.00,16.7,76.0,2,mercedes
16.4,8,350.0,180.0,4380.00,12.1,76.0,1,cadillac
13.0,8,350.0,145.0,4055.00,12.0,76.0,1,chevy
13.0,8,302.0,130.0,3870.00,15.0,76.0,1,ford
13.0,8,318.0,150.0,3755.00,14.0,76.0,1,dodge
31.4,4,98.0,68.0,2045.00,18.5,77.0,3,honda
30.0,4,111.0,80.0,2155.00,14.8,77.0,1,buick
36.0,4,79.0,58.0,1825.00,18.6,77.0,2,renault
25.4,4,122.0,96.0,2300.00,15.5,77.0,1,plymouth
33.4,4,85.0,70.0,1945.00,16.8,77.0,3,datsun
17.4,8,305.0,145.0,3880.00,12.5,77.0,1,chevrolet
17.0,8,260.0,110.0,4060.00,19.0,77.0,1,oldsmobile
15.4,8,318.0,145.0,4140.00,13.7,77.0,1,dodge
15.0,8,302.0,130.0,4295.00,14.9,77.0,1,mercury
17.4,6,250.0,110.0,3520.00,16.4,77.0,1,chevrolet
20.4,6,231.0,105.0,3425.00,16.9,77.0,1,buick
19.0,6,225.0,100.0,3630.00,17.7,77.0,1,plymouth
18.4,6,250.0,98.0,3525.00,19.0,77.0,1,ford
16.0,8,400.0,180.0,4220.00,11.1,77.0,1,pontiac
15.4,8,350.0,170.0,4165.00,11.4,77.0,1,chevrolet
15.4,8,400.0,190.0,4325.00,12.2,77.0,1,chrysler
16.0,8,351.0,149.0,4335.00,14.5,77.0,1,ford
29.0,4,97.0,78.0,1940.00,14.5,77.0,2,volkswagen
24.4,4,151.0,88.0,2740.00,16.0,77.0,1,pontiac
26.0,4,97.0,75.0,2265.00,18.2,77.0,3,toyota
25.4,4,140.0,89.0,2755.00,15.8,77.0,1,ford
30.4,4,98.0,63.0,2051.00,17.0,77.0,1,chevrolet
33.4,4,98.0,83.0,2075.00,15.9,77.0,1,dodge
30.0,4,97.0,67.0,1985.00,16.4,77.0,3,subaru
30.4,4,97.0,78.0,2190.00,14.1,77.0,2,volkswagen
22.0,6,146.0,97.0,2815.00,14.5,77.0,3,datsun
21.4,4,121.0,110.0,2600.00,12.8,77.0,2,bmw
21.4,3,80.0,110.0,2720.00,13.5,77.0,3,mazda
43.1,4,90.0,48.0,1985.00,21.5,78.0,2,volkswagen
36.1,4,98.0,66.0,1800.00,14.4,78.0,1,ford
32.8,4,78.0,52.0,1985.00,19.4,78.0,3,mazda
39.4,4,85.0,70.0,2070.00,18.6,78.0,3,datsun
36.1,4,91.0,60.0,1800.00,16.4,78.0,3,honda
19.9,8,260.0,110.0,3365.00,15.5,78.0,1,oldsmobile
19.4,8,318.0,140.0,3735.00,13.2,78.0,1,dodge
20.2,8,302.0,139.0,3570.00,12.8,78.0,1,mercury
19.2,6,231.0,105.0,3535.00,19.2,78.0,1,pontiac
20.4,6,200.0,95.0,3155.00,18.2,78.0,1,chevrolet
20.2,6,200.0,85.0,2965.00,15.8,78.0,1,ford
25.1,4,140.0,88.0,2720.00,15.4,78.0,1,ford
20.4,6,225.0,100.0,3430.00,17.2,78.0,1,plymouth
19.4,6,232.0,90.0,3210.00,17.2,78.0,1,amc
20.6,6,231.0,105.0,3380.00,15.8,78.0,1,buick
20.8,6,200.0,85.0,3070.00,16.7,78.0,1,mercury
18.6,6,225.0,110.0,3620.00,18.7,78.0,1,dodge
18.1,6,258.0,120.0,3410.00,15.1,78.0,1,amc
19.2,8,305.0,145.0,3425.00,13.2,78.0,1,chevrolet
17.7,6,231.0,165.0,3445.00,13.4,78.0,1,buick
18.1,8,302.0,139.0,3205.00,11.2,78.0,1,ford
17.4,8,318.0,140.0,4080.00,13.7,78.0,1,dodge
30.0,4,98.0,68.0,2155.00,16.5,78.0,1,chevrolet
27.4,4,134.0,95.0,2560.00,14.2,78.0,3,toyota
27.2,4,119.0,97.0,2300.00,14.7,78.0,3,datsun
30.9,4,105.0,75.0,2230.00,14.5,78.0,1,dodge
21.1,4,134.0,95.0,2515.00,14.8,78.0,3,toyota
23.2,4,156.0,105.0,2745.00,16.7,78.0,1,plymouth
23.8,4,151.0,85.0,2855.00,17.6,78.0,1,oldsmobile
23.9,4,119.0,97.0,2405.00,14.9,78.0,3,datsun
20.3,4,131.0,103.0,2830.00,15.9,78.0,2,audi
17.0,6,163.0,125.0,3140.00,13.6,78.0,2,volvo
21.6,4,121.0,115.0,2795.00,15.7,78.0,2,saab
16.2,6,163.0,133.0,3410.00,15.8,78.0,2,peugeot
31.4,4,89.0,71.0,1990.00,14.9,78.0,2,volkswagen
29.4,4,98.0,68.0,2135.00,16.6,78.0,3,honda
21.4,6,231.0,115.0,3245.00,15.4,79.0,1,pontiac
19.8,6,200.0,85.0,2990.00,18.2,79.0,1,mercury
22.3,4,140.0,88.0,2890.00,17.3,79.0,1,ford
20.2,6,232.0,90.0,3265.00,18.2,79.0,1,amc
20.6,6,225.0,110.0,3360.00,16.6,79.0,1,dodge
17.0,8,305.0,130.0,3840.00,15.4,79.0,1,chevrolet
17.6,8,302.0,129.0,3725.00,13.4,79.0,1,ford
16.4,8,351.0,138.0,3955.00,13.2,79.0,1,mercury
18.2,8,318.0,135.0,3830.00,15.2,79.0,1,dodge
16.9,8,350.0,155.0,4360.00,14.9,79.0,1,buick
15.4,8,351.0,142.0,4054.00,14.3,79.0,1,ford
19.2,8,267.0,125.0,3605.00,15.0,79.0,1,chevrolet
18.4,8,360.0,150.0,3940.00,13.0,79.0,1,chrysler
31.9,4,89.0,71.0,1925.00,14.0,79.0,2,vw
34.1,4,86.0,65.0,1975.00,15.2,79.0,3,mazda
35.7,4,98.0,80.0,1915.00,14.4,79.0,1,dodge
27.4,4,121.0,80.0,2670.00,15.0,79.0,1,amc
25.4,4,183.0,77.0,3530.00,20.1,79.0,2,mercedes
23.0,8,350.0,125.0,3900.00,17.4,79.0,1,cadillac
27.2,4,141.0,71.0,3190.00,24.8,79.0,2,peugeot
23.9,8,260.0,90.0,3420.00,22.2,79.0,1,oldsmobile
34.2,4,105.0,70.0,2200.00,13.2,79.0,1,plymouth
34.4,4,105.0,70.0,2150.00,14.9,79.0,1,plymouth
31.8,4,85.0,65.0,2020.00,19.2,79.0,3,datsun
37.3,4,91.0,69.0,2130.00,14.7,79.0,2,fiat
28.4,4,151.0,90.0,2670.00,16.0,79.0,1,buick
28.8,6,173.0,115.0,2595.00,11.3,79.0,1,chevrolet
26.8,6,173.0,115.0,2700.00,12.9,79.0,1,oldsmobile
33.4,4,151.0,90.0,2556.00,13.2,79.0,1,pontiac
41.4,4,98.0,76.0,2144.00,14.7,80.0,2,vw
38.1,4,89.0,60.0,1968.00,18.8,80.0,3,toyota
32.1,4,98.0,70.0,2120.00,15.5,80.0,1,chevrolet
37.2,4,86.0,65.0,2019.00,16.4,80.0,3,datsun
28.0,4,151.0,90.0,2678.00,16.5,80.0,1,chevrolet
26.4,4,140.0,88.0,2870.00,18.1,80.0,1,ford
24.3,4,151.0,90.0,3003.00,20.1,80.0,1,amc
19.1,6,225.0,90.0,3381.00,18.7,80.0,1,dodge
34.3,4,97.0,78.0,2188.00,15.8,80.0,2,audi
29.8,4,134.0,90.0,2711.00,15.5,80.0,3,toyota
31.3,4,120.0,75.0,2542.00,17.5,80.0,3,mazda
37.0,4,119.0,92.0,2434.00,15.0,80.0,3,datsun
32.2,4,108.0,75.0,2265.00,15.2,80.0,3,toyota
46.6,4,86.0,65.0,2110.00,17.9,80.0,3,mazda
27.9,4,156.0,105.0,2800.00,14.4,80.0,1,dodge
40.8,4,85.0,65.0,2110.00,19.2,80.0,3,datsun
44.3,4,90.0,48.0,2085.00,21.7,80.0,2,vw
43.4,4,90.0,48.0,2335.00,23.7,80.0,2,vw
36.4,4,121.0,67.0,2950.00,19.9,80.0,2,audi
30.0,4,146.0,67.0,3250.00,21.8,80.0,2,mercedes
44.6,4,91.0,67.0,1850.00,13.8,80.0,3,honda
40.9,4,85.0,104.0,1835.00,17.3,80.0,2,renault
33.8,4,97.0,67.0,2145.00,18.0,80.0,3,subaru
29.8,4,89.0,62.0,1845.00,15.3,80.0,2,volkswagen
32.7,6,168.0,132.0,2910.00,11.4,80.0,3,datsun
23.7,3,70.0,100.0,2420.00,12.5,80.0,3,mazda
35.0,4,122.0,88.0,2500.00,15.1,80.0,2,triumph
23.6,4,140.0,104.0,2905.00,14.3,80.0,1,ford
32.4,4,107.0,72.0,2290.00,17.0,80.0,3,honda
27.2,4,135.0,84.0,2490.00,15.7,81.0,1,plymouth
26.6,4,151.0,84.0,2635.00,16.4,81.0,1,buick
25.8,4,156.0,92.0,2620.00,14.4,81.0,1,dodge
23.4,6,173.0,110.0,2725.00,12.6,81.0,1,chevrolet
30.0,4,135.0,84.0,2385.00,12.9,81.0,1,plymouth
39.1,4,79.0,58.0,1755.00,16.9,81.0,3,toyota
39.0,4,86.0,64.0,1875.00,16.4,81.0,1,plymouth
35.1,4,81.0,60.0,1760.00,16.1,81.0,3,honda
32.3,4,97.0,67.0,2065.00,17.8,81.0,3,subaru
37.0,4,85.0,65.0,1975.00,19.4,81.0,3,datsun
37.7,4,89.0,62.0,2050.00,17.3,81.0,3,toyota
34.1,4,91.0,68.0,1985.00,16.0,81.0,3,mazda
34.7,4,105.0,63.0,2215.00,14.9,81.0,1,plymouth
34.4,4,98.0,65.0,2045.00,16.2,81.0,1,ford
29.9,4,98.0,65.0,2380.00,20.7,81.0,1,ford
33.0,4,105.0,74.0,2190.00,14.2,81.0,2,volkswagen
34.4,4,100.0,104.0,2320.00,15.8,81.0,2,renault
33.7,4,107.0,75.0,2210.00,14.4,81.0,3,honda
32.4,4,108.0,75.0,2350.00,16.8,81.0,3,toyota
32.9,4,119.0,100.0,2615.00,14.8,81.0,3,datsun
31.6,4,120.0,74.0,2635.00,18.3,81.0,3,mazda
28.1,4,141.0,80.0,3230.00,20.4,81.0,2,peugeot
30.7,6,145.0,76.0,3160.00,19.6,81.0,2,volvo
25.4,6,168.0,116.0,2900.00,12.6,81.0,3,toyota
24.2,6,146.0,120.0,2930.00,13.8,81.0,3,datsun
22.4,6,231.0,110.0,3415.00,15.8,81.0,1,buick
26.6,8,350.0,105.0,3725.00,19.0,81.0,1,oldsmobile
20.2,6,200.0,88.0,3060.00,17.1,81.0,1,ford
17.6,6,225.0,85.0,3465.00,16.6,81.0,1,chrysler
28.0,4,112.0,88.0,2605.00,19.6,82.0,1,chevrolet
27.0,4,112.0,88.0,2640.00,18.6,82.0,1,chevrolet
34.0,4,112.0,88.0,2395.00,18.0,82.0,1,chevrolet
31.0,4,112.0,85.0,2575.00,16.2,82.0,1,pontiac
29.0,4,135.0,84.0,2525.00,16.0,82.0,1,dodge
27.0,4,151.0,90.0,2735.00,18.0,82.0,1,pontiac
24.0,4,140.0,92.0,2865.00,16.4,82.0,1,ford
23.0,4,151.0,104.0,3035.00,20.5,82.0,1,amc
36.0,4,105.0,74.0,1980.00,15.3,82.0,2,volkswagen
37.0,4,91.0,68.0,2025.00,18.2,82.0,3,mazda
31.0,4,91.0,68.0,1970.00,17.6,82.0,3,mazda
38.0,4,105.0,63.0,2125.00,14.7,82.0,1,plymouth
36.0,4,98.0,70.0,2125.00,17.3,82.0,1,mercury
36.0,4,120.0,88.0,2160.00,14.5,82.0,3,nissan
36.0,4,107.0,75.0,2205.00,14.5,82.0,3,honda
34.0,4,108.0,70.0,2245.00,16.9,82.0,3,toyota
38.0,4,91.0,67.0,1965.00,15.0,82.0,3,honda
32.0,4,91.0,67.0,1965.00,15.7,82.0,3,honda
38.0,4,91.0,67.0,1995.00,16.2,82.0,3,datsun
25.0,6,181.0,110.0,2945.00,16.4,82.0,1,buick
38.0,6,262.0,85.0,3015.00,17.0,82.0,1,oldsmobile
26.0,4,156.0,92.0,2585.00,14.5,82.0,1,chrysler
22.0,6,232.0,112.0,2835.00,14.7,82.0,1,ford
32.0,4,144.0,96.0,2665.00,13.9,82.0,3,toyota
36.0,4,135.0,84.0,2370.00,13.0,82.0,1,dodge
27.0,4,151.0,90.0,2950.00,17.3,82.0,1,chevrolet
27.0,4,140.0,86.0,2790.00,15.6,82.0,1,ford
44.0,4,97.0,52.0,2130.00,24.6,82.0,2,vw
32.0,4,135.0,84.0,2295.00,11.6,82.0,1,dodge
28.0,4,120.0,79.0,2625.00,18.6,82.0,1,ford
31.0,4,119.0,82.0,2720.00,19.4,82.0,1,chevy
